Component 1,Component 2,Time,Occurrences,Occurrences_mod,Alpha,Linewidth
-0.004321898416377078,-0.03284549126192214,3050.0,2,4.0,1.0,1.0
-0.00500420779744166,-0.03164297984681847,3070.0,2,4.0,1.0,1.0
-0.022988853360214837,-0.003497396609473956,3080.0,2,4.0,1.0,1.0
-0.023026432249224897,-0.003610919667546156,3090.0,2,4.0,1.0,1.0
-0.0022205701126704227,-0.035504839964396025,3120.0,2,4.0,1.0,1.0
-0.023058081701317863,-0.0035678598956459077,3130.0,2,4.0,1.0,1.0
-0.02311586357030168,-0.0035987785428225226,3160.0,2,4.0,1.0,1.0
-0.005024031077318784,-0.03160253470001198,3170.0,2,4.0,1.0,1.0
-0.002312380529447977,-0.035174006230207354,3220.0,2,4.0,1.0,1.0
-0.002343255773951962,-0.03560050780985246,3240.0,2,4.0,1.0,1.0
-0.023147260131198548,-0.003601899862324518,3270.0,2,4.0,1.0,1.0
-0.004969607236746663,-0.03152392913629853,3280.0,2,4.0,1.0,1.0
-0.004299908013185984,-0.03281343876444678,3300.0,2,4.0,1.0,1.0
-0.004983023823205091,-0.03168109003914004,3300.0,2,4.0,1.0,1.0
-0.02302092959816796,-0.003597257753371377,3310.0,2,4.0,1.0,1.0
-0.023001591141814087,-0.0035420796032339706,3330.0,2,4.0,1.0,1.0
-0.023057966231010904,-0.0035715425235205035,3350.0,2,4.0,1.0,1.0
-0.023089496481265057,-0.003590940637776356,3370.0,2,4.0,1.0,1.0
-0.023037946650592743,-0.0036368779000828765,3490.0,2,4.0,1.0,1.0
-0.022918203659232427,-0.00355907258703899,3500.0,2,4.0,1.0,1.0
-0.02303434658741173,-0.003455402677098636,3520.0,2,4.0,1.0,1.0
-0.023072395781232234,-0.0034985160524855447,3530.0,2,4.0,1.0,1.0
-0.02303904301560465,-0.0034964810924792665,3540.0,2,4.0,1.0,1.0
-0.022993643328220913,-0.003685132819453487,3540.0,2,4.0,1.0,1.0
-0.004354947502773627,-0.03286740274190279,3590.0,2,4.0,1.0,1.0
-0.0020004668246351464,-0.03553287799126026,3600.0,2,4.0,1.0,1.0
-0.023068822371022278,-0.0035063541195254574,3600.0,2,4.0,1.0,1.0
-0.0043849575609323675,-0.03272364043940583,3610.0,2,4.0,1.0,1.0
-0.02295506717087871,-0.003664085312464021,3610.0,2,4.0,1.0,1.0
-0.023065270084321226,-0.0035670601959537653,3640.0,2,4.0,1.0,1.0
-0.02310614501133439,-0.003612632299755276,3640.0,2,4.0,1.0,1.0
-0.023098261452089992,-0.0036627508305058917,3730.0,2,4.0,1.0,1.0
-0.02302364405363819,-0.003646812638131329,3750.0,2,4.0,1.0,1.0
